IPK,Jumlah_Absensi,Waktu_Belajar_Jam,Lulus,Rasio_Absensi,IPK_x_Study
3.8,3,10,1,0.21428571428571427,38.0
2.5,8,5,0,0.5714285714285714,12.5
3.4,4,7,1,0.2857142857142857,23.8
2.1,12,2,0,0.8571428571428571,4.2
3.9,2,12,1,0.14285714285714285,46.8
2.7,9,3,0,0.6428571428571429,8.100000000000001
3.2,5,8,1,0.35714285714285715,25.6
2.0,11,4,0,0.7857142857142857,8.0
3.6,3,9,1,0.21428571428571427,32.4
2.4,10,2,0,0.7142857142857143,4.8
3.5,6,7,1,0.42857142857142855,24.5
2.8,8,5,0,0.5714285714285714,14.0
3.7,4,10,1,0.2857142857142857,37.0
2.3,9,3,0,0.6428571428571429,6.8999999999999995
3.9,2,11,1,0.14285714285714285,42.9
2.6,7,4,0,0.5,10.4
3.1,5,9,1,0.35714285714285715,27.900000000000002
2.2,10,3,0,0.7142857142857143,6.6000000000000005
3.8,3,8,1,0.21428571428571427,30.4
2.5,9,4,0,0.6428571428571429,10.0
3.6,4,7,1,0.2857142857142857,25.2
2.1,11,2,0,0.7857142857142857,4.2
3.7,2,12,1,0.14285714285714285,44.400000000000006
2.9,8,5,0,0.5714285714285714,14.5
3.4,5,9,1,0.35714285714285715,30.599999999999998
2.3,10,3,0,0.7142857142857143,6.8999999999999995
3.9,3,10,1,0.21428571428571427,39.0
2.6,9,4,0,0.6428571428571429,10.4
3.2,6,8,1,0.42857142857142855,25.6
2.4,11,2,0,0.7857142857142857,4.8
3.8,4,11,1,0.2857142857142857,41.8
2.7,8,3,0,0.5714285714285714,8.100000000000001
3.5,5,9,1,0.35714285714285715,31.5
2.2,10,4,0,0.7142857142857143,8.8
3.7,3,10,1,0.21428571428571427,37.0
2.5,12,2,0,0.8571428571428571,5.0
3.9,4,12,1,0.2857142857142857,46.8
2.8,9,5,0,0.6428571428571429,14.0
3.6,6,8,1,0.42857142857142855,28.8
2.1,11,3,0,0.7857142857142857,6.300000000000001
